Name,Season,Team,Level,Age,G,AB,PA_x,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,Off,MLB_PA
Austin Jackson,2008,NYY,AA,21,131,520,584,0.284615384,148,9,75,0.495575221,5.860636155537410,0.39951574,0.140703517,1.047904191,2,18.90356088192970,4653.0
Max Kepler,2015,MIN,AA,22,112,407,482,0.321867321,131,9,76,1.063492063,7.180906063819240,0.42450142,0.238372093,0.969924812,2,15.420374245414100,4251.0
Dexter Fowler,2008,COL,AA,22,108,421,505,0.334916864,141,9,92,0.730337078,7.339579439944040,0.39825581,0.235474006,1.577319587,8,76.82784527325220,5902.0
Colby Rasmus,2007,STL,AA,20,128,472,556,0.275423728,130,29,93,0.648148148,6.174129751271180,0.53825137,0.235457063,0.568181818,12,34.01852403961320,4119.0
Kolten Wong,2012,STL,AA,21,126,523,579,0.286806883,150,9,79,0.594594594,6.190231504391770,0.42511013,0.144144144,1.360248447,7,10.823132154306700,4283.0
Tim Anderson,2015,CHW,AA,22,125,513,550,0.311890838,160,5,79,0.210526315,8.568120399608590,0.48029557,0.217721518,1.971153846,7,-8.857924365031000,4049.0
Jonathan Schoop,2012,BAL,AA,20,124,485,555,0.245360824,119,14,68,0.485436893,3.624046675597780,0.43654822,0.172774869,1.164383561,9,-41.12407789602850,4616.0
Tommy Edman,2018,STL,AA,23,109,452,498,0.298672566,135,6,71,0.460526315,6.721694009107850,0.49739583,0.229946524,1.642201834,3,20.80043733470340,2578.0
Jorge Polanco,2015,MIN,AA,21,95,394,431,0.289340101,114,6,55,0.555555555,5.521772016388080,0.52852853,0.272727272,1.424242424,0,44.62112578202670,3998.0
Bryan Reynolds,2018,PIT,AA,23,88,331,383,0.302114803,100,7,56,0.589041095,4.440819423188600,0.45075758,0.166666666,0.99074074,3,84.61342283402190,3346.0
Joc Pederson,2013,LAD,AA,21,123,439,519,0.277904328,122,22,81,0.614035087,6.387456446790700,0.45592705,0.169753086,1.152,5,102.95590632432100,4305.0
Bo Bichette,2018,TOR,AA,20,131,539,595,0.285714285,154,11,95,0.475247524,7.597547508894530,0.36853933,0.161662817,1.0625,2,63.941139377192800,2664.0
Alex Avila,2009,DET,AA,22,93,329,387,0.264437689,87,12,52,0.675324675,3.3211154826676800,0.40625,0.136546184,1.047619047,1,-7.458770288826330,3638.0
J.P. Crawford,2015,PHI,AA,20,86,351,405,0.264957264,93,5,53,1.088888888,6.37881945780576,0.37942122,0.173202614,0.888059701,1,17.1858541024238,3232.0
Matt Joyce,2007,DET,AA,22,130,456,514,0.256578947,117,17,61,0.401574803,3.552901698680760,0.48948949,0.166153846,0.662576687,3,67.97890047198620,4355.0
Ender Inciarte,2013,ARI,AA,22,127,473,516,0.281183932,133,5,68,0.574468085,7.107295418336840,0.38390805,0.182692307,1.905982905,6,-22.42641808924500,3422.0
Mark Canha,2013,MIA,AA,24,128,425,504,0.272941176,116,13,63,0.529411764,4.524896992346670,0.50598802,0.198113207,1.056451612,15,77.68211662839420,4003.0
Wil Myers,2011,KCR,AA,20,99,354,416,0.254237288,90,8,50,0.597701149,4.457873318774790,0.52554745,0.178707224,1.454545454,4,55.20143076052660,4290.0
Christian Walker,2014,BAL,AA,23,95,366,411,0.300546448,110,20,58,0.457831325,3.418634288992260,0.49825784,0.166077738,0.84375,3,46.21518086188310,3270.0
Cameron Maybin,2008,FLA,AA,21,108,390,459,0.276923076,108,13,73,0.483870967,7.431214287291100,0.39852399,0.182509505,1.792207792,3,0.4496856491966450,4251.0
Josh Harrison,2010,PIT,AA,22,135,520,585,0.3,156,4,74,0.615384615,5.589314728416990,0.46406571,0.171974522,1.13114754,9,-16.04895766066550,4347.0
Randal Grichuk,2013,LAA,AA,21,128,500,542,0.256,128,22,85,0.304347826,6.78739614784793,0.49394673,0.168765743,0.853932584,9,15.361027107586300,4540.0
Nick Ahmed,2013,ARI,AA,23,136,487,538,0.23613963,115,4,58,0.458333333,6.759723735523620,0.51990632,0.181598062,1.194805194,5,-104.13329934599100,3391.0
Alcides Escobar,2008,MIL,AA,21,131,546,597,0.327838827,179,8,95,0.37804878,7.103228866667460,0.41336117,0.200435729,1.823076923,3,-168.39954536205500,6182.0
Will Venable,2007,SDP,AA,24,134,515,572,0.277669902,143,8,66,0.452380952,5.884674967646390,0.43181818,0.159353348,1.153846153,10,32.28004258142670,3146.0
Miguel Rojas,2013,LAD,AA,24,130,420,478,0.233333333,98,5,45,0.81632653,4.394170659206880,0.44764398,0.188010899,2.136842105,3,-73.91218826285080,3842.0
Jake Cronenworth,2018,TBR,AA,24,108,418,470,0.253588516,106,4,75,0.623188405,7.472802384027090,0.38202247,0.245664739,1.806451612,3,31.489505153352500,2697.0
Desmond Jennings,2009,TBR,AA,22,100,383,442,0.315926892,121,8,69,0.923076923,8.44622367387659,0.48358209,0.178461538,1.20661157,5,27.37990413996520,2351.0
Mike Yastrzemski,2015,BAL,AA,24,128,476,536,0.245798319,117,6,63,0.43,5.474205225808750,0.4507772,0.192513368,0.986842105,9,44.36848658763950,2581.0
Daulton Varsho,2019,ARI,AA,22,108,396,452,0.30050505,119,18,85,0.666666666,7.227741141170930,0.40356083,0.139393939,0.82051282,10,-0.3195388602014370,2116.0
Rhys Hoskins,2016,PHI,AA,23,135,498,589,0.281124497,140,38,95,0.568,3.9766645320470200,0.46335079,0.173796791,0.609375,11,81.06542176938820,3394.0
Aaron Hicks,2012,MIN,AA,22,129,472,563,0.286016949,135,13,100,0.681034482,7.893536673691590,0.50273224,0.187845303,1.055944055,1,2.857580657230490,3651.0
Jordy Mercer,2010,PIT,AA,23,126,485,538,0.282474226,137,3,67,0.449275362,4.822116661559830,0.42325581,0.213429256,0.906976744,7,-49.76247483965960,3416.0
Dee Strange-Gordon,2010,LAD,AA,22,133,555,614,0.277477477,154,2,86,0.449438202,8.232144773530840,0.36764706,0.163755458,2.45045045,7,-11.191723262985800,4162.0
Tyler O'Neill,2016,SEA,AA,21,130,492,575,0.292682926,144,24,68,0.413333333,5.061425763163980,0.42977528,0.181818181,0.788819875,9,44.36978655403800,2109.0
Ryan Howard,2018,SFG,AA,23,117,422,475,0.272511848,115,4,44,0.709090909,4.703679856910410,0.38461538,0.208791208,1.461538461,4,67.5872190219313,5437.0
