Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2019,"Connor Marabell","CLE","AA",25,111,421,456,0.273159144,115,8,51,0.538461538,4.3080185850955495,0.3655914,0.217032967,1.28,3,"sa858026"
2019,"Mitchell Tolman","PIT","AA",25,116,401,461,0.254364089,102,4,56,0.47,5.12767503138547,0.4267101,0.155629139,0.976744186,6,"sa858829"
2019,"T.J. Nichting","BAL","AA",24,105,352,378,0.255681818,90,6,40,0.228571428,5.520141848527894,0.41666667,0.153024911,1.404040404,4,"sa873681"
2019,"C.J. Chatham","BOS","AA",24,90,350,376,0.297142857,104,3,39,0.272727272,4.403412587531925,0.44137931,0.246428571,1.573170731,3,"sa873984"
2018,"Stephen Alemais","PIT","AA",23,120,402,463,0.278606965,112,1,56,0.637681159,5.64181046926744,0.37391304,0.140298507,1.341463414,2,"sa874070"
2018,"Cornelius Randolph","PHI","AA",21,118,410,465,0.241463414,99,5,52,0.52173913,2.559687262145787,0.43653251,0.216828478,1.602150537,3,"sa874241"
2019,"Cornelius Randolph","PHI","AA",22,102,348,389,0.247126436,86,10,42,0.362745098,5.475197484402193,0.3562753,0.195121951,1.129032258,3,"sa874241"
2019,"Jalen Miller","SFG","AA",22,135,491,550,0.215885947,106,11,55,0.46226415,5.7760541841389665,0.44387755,0.203608247,1.006493506,2,"sa875016"
2018,"Brian Mundell","COL","AA",24,128,441,506,0.263038548,116,7,49,0.688311688,2.1078653083375922,0.45552561,0.191780821,1.077464788,5,"sa875185"
2018,"Jhalan Jackson","NYY","AA",25,102,346,395,0.205202312,71,17,52,0.256756756,5.795839557128907,0.53731343,0.162436548,0.633663366,8,"sa875208"
2018,"Connor Panas","TOR","AA",25,105,370,407,0.232432432,86,9,39,0.297619047,3.812667340775883,0.40972222,0.138790035,0.890625,9,"sa875228"
2018,"Mylz Jones","COL","AA",24,117,404,429,0.25,101,10,49,0.14893617,5.500188089835474,0.428125,0.180645161,0.953846153,2,"sa875606"
2019,"Ian Sagdal","WSN","AA",26,128,447,492,0.270693512,121,8,58,0.477272727,3.3354313890275264,0.35,0.243016759,0.978102189,1,"sa875695"
2018,"Logan Hill","PIT","AA",25,117,391,444,0.227621483,89,17,48,0.31060606,3.2278446311773097,0.48288973,0.131274131,0.991150442,8,"sa875822"
2019,"Logan Hill","PIT","AA",26,113,407,458,0.257985257,105,12,53,0.35,3.376829748233553,0.45704467,0.145328719,0.976,5,"sa875822"
2018,"Andrew Guillotte","TOR","AA",25,108,331,386,0.250755287,83,2,53,0.632352941,4.417286022227588,0.46863469,0.168539325,0.865546218,3,"sa876089"
2018,"Jordan George","PIT","AA",25,110,342,392,0.263157894,90,5,46,0.872340425,1.7432250732364856,0.39057239,0.15625,0.944,8,"sa876211"
2019,"Nash Knight","TOR","AA",26,102,349,415,0.252148997,88,7,46,0.616279069,3.1183083301654126,0.50373134,0.155038759,1.224489795,10,"sa876814"
2019,"Arquimedes Gamboa","PHI","AA",21,113,356,421,0.188202247,67,3,35,0.526785714,6.508331415886972,0.416,0.20502092,1.021276595,1,"sa877497"
2019,"Josh Stephen","PHI","AA",21,113,362,403,0.270718232,98,12,48,0.354545454,5.57872209283232,0.46640316,0.189516129,0.914285714,1,"sa918203"
2018,"Danny Woodrow","DET","AA",23,92,342,387,0.312865497,107,3,48,0.436619718,5.676974121875988,0.40636042,0.221818181,1.708860759,3,"sa918257"
2019,"Ben Ruta","NYY","AA",25,117,442,497,0.260180995,115,8,57,0.552941176,6.505561988621477,0.42424242,0.182584269,0.796296296,2,"sa918694"
2019,"Bret Boswell","COL","AA",24,106,365,404,0.219178082,80,15,45,0.262295081,2.775456476054414,0.4796748,0.141078838,0.952830188,5,"sa918769"
