Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2011,"KD Kang","TBR","AA",23,99,316,384,0.262658227,83,11,54,0.623529411,5.498474552066722,0.44255319,0.262008733,0.942528735,11,"sa327822"
2012,"KD Kang","TBR","AA",24,104,345,404,0.24347826,84,14,58,0.377777777,5.586535274116775,0.47619048,0.208737864,0.697916666,6,"sa327822"
2013,"KD Kang","TBR","AA",25,107,346,403,0.248554913,86,14,51,0.519607843,5.596308419639131,0.48163265,0.229508196,1.186046511,3,"sa327822"
2015,"KD Kang","ATL","AA",27,119,398,449,0.271356783,108,6,48,0.405405405,4.803917569897408,0.48275862,0.257839721,1.108910891,3,"sa327822"
2010,"Lee Haydel","MIL","AA",22,127,452,497,0.28539823,129,0,61,0.360824742,7.174841554855552,0.42975207,0.164305949,1.5,2,"sa328074"
2011,"Lee Haydel","MIL","AA",23,120,449,490,0.273942093,123,0,49,0.366336633,5.438257344091199,0.38418079,0.195335276,2.45,0,"sa328074"
2010,"Tim Torres","FLA","AA",26,109,335,399,0.274626865,92,14,55,0.647727272,6.525718669251581,0.40239044,0.116666666,1.585365853,1,"sa328090"
2008,"Johan Limonta","SEA","AA",24,98,361,404,0.296398891,107,10,51,0.425287356,5.1864536286499705,0.49458484,0.233333333,1.435294117,4,"sa328092"
2009,"Johan Limonta","SEA","AA",25,126,438,498,0.296803652,130,6,57,0.729729729,5.276627191319629,0.42506812,0.266483516,1.102362204,3,"sa328092"
2010,"Johan Limonta","SEA","AA",26,132,486,554,0.302469135,147,14,82,0.528846153,3.4269249525931422,0.43187661,0.184895833,1.143835616,6,"sa328092"
2009,"Concepcion Rodriguez","ATL","AA",22,116,395,436,0.263291139,104,3,43,0.420289855,3.66410190901115,0.49702381,0.163076923,1.045112781,1,"sa328605"
2011,"Johermyn Chavez","SEA","AA",22,126,439,510,0.216400911,95,13,47,0.39516129,4.100593445445269,0.55727554,0.189274447,0.822695035,14,"sa328855"
2008,"Yunesky Sanchez","ARI","AA",24,122,494,523,0.295546558,146,0,61,0.560975609,3.9854052363687114,0.31648352,0.16856492,2.318181818,5,"sa381319"
