Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2017,"J.P. Sportman","OAK","AA",25,130,513,558,0.274853801,141,12,71,0.31858407,5.506967278752025,0.47890819,0.198492462,1.511811023,5,"sa829450"
2018,"J.P. Sportman","OAK","AA",26,103,401,428,0.27680798,111,13,55,0.26506024,5.422205568399182,0.48606811,0.203174603,1.281818181,2,"sa829450"
2019,"Dom Thompson-Williams","SEA","AA",24,115,432,479,0.233796296,101,12,46,0.230263157,6.192051211543255,0.37676056,0.223826714,1.028301886,6,"sa829483"
2017,"Luke Tendler","TEX","AA",25,113,420,464,0.245238095,103,13,51,0.394230769,2.7916586982335527,0.50314465,0.214285714,1.261682242,2,"sa829644"
2016,"Nick Schulz","SDP","AA",25,106,393,446,0.282442748,111,10,41,0.425742574,2.7437392903144477,0.41638225,0.192170818,1.31632653,9,"sa829877"
2019,"Andretty Cordero","TEX","AA",22,127,500,534,0.27,135,16,60,0.285714285,2.3266258266157984,0.41439206,0.19047619,1.465648854,4,"sa830037"
2017,"Jordan Tarsovich","OAK","AA",26,105,341,399,0.240469208,82,3,56,0.607594936,6.244017666618361,0.47037037,0.174242424,1.369565217,3,"sa857752"
2018,"Errol Robinson","LAD","AA",23,117,433,475,0.247113163,107,10,53,0.35576923,4.712379202732819,0.41993958,0.214285714,1.663157894,3,"sa857819"
2018,"Anderson Miller","KCR","AA",24,120,432,470,0.254629629,110,13,50,0.397590361,4.769174732200715,0.44759207,0.188405797,1.5,1,"sa857824"
2019,"Logan Taylor","SEA","AA",25,107,387,423,0.211886304,82,7,36,0.196969696,3.5002714228478604,0.48461538,0.262745098,1.41025641,5,"sa857838"
2017,"Donnie Dewees","KCR","AA",23,126,464,524,0.271551724,126,9,67,0.567901234,6.553029376301012,0.45641026,0.186351706,1.167832167,5,"sa858802"
2015,"Yadir Drake","LAD","AA",25,106,361,399,0.26869806,97,3,36,0.682926829,2.051583631545699,0.40490798,0.235109717,1.489795918,4,"sa869674"
2018,"Tyler Ramirez","OAK","AA",23,134,512,594,0.287109375,147,10,73,0.418918918,4.202251237449818,0.40957447,0.25,1.379310344,10,"sa873260"
2018,"Ryne Birk","HOU","AA",23,116,412,470,0.216019417,89,1,44,0.471910112,6.213284111727365,0.43373494,0.226993865,0.68,7,"sa874211"
2019,"Gabriel Cancel","KCR","AA",22,123,464,513,0.245689655,114,18,70,0.236111111,5.168507921390066,0.49382716,0.261682242,0.975,10,"sa875231"
2018,"Peter Van Gansen","SDP","AA",24,103,336,382,0.25297619,85,4,42,0.76,2.736996976562351,0.42033898,0.223776223,1.3125,0,"sa875579"
2019,"Brad Zunica","SDP","AA",23,114,383,431,0.229765013,88,16,45,0.365217391,2.628109905377835,0.40148699,0.227272727,0.906542056,5,"sa875647"
2019,"Hudson Potts","SDP","AA",20,107,409,448,0.227383863,93,16,56,0.25,3.782924988033591,0.55319149,0.246428571,1.175257731,5,"sa917936"
